ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
Prayas Re-employment Consultant,Kathmandu,Private,2065
Bindabasini Remittance Services (Sub Agent),Kathmandu,Private,2065
Khakurel Construction Company,Kathmandu,Private,2065
I.T. Expert Nepal,Kathmandu,Private,2065
Siddhartha Graphic,Kathmandu,Private,2065
National Cattle Farming & Research Center,Morang,Private,2065
Rijan Academy School,Kailali,Private,2065
Park Group International,Kathmandu,Private,2065
Madan & Gurung Housing,District not known,Private,2065
Samyukta Enterprises Traders and Investment Company,Sunsari,Private,2065
Agrasar Housing and Land,Lalitpur,Private,2065
Financial Professional Instituted,Kathmandu,Private,2065
Study Empire International,Kathmandu,Private,2065
Gupta Real Estate,Bara,Private,2065
Candy Partnership,Kathmandu,Private,2065
Maa Manakamana Bhagawati Enterprises,Kathmandu,Private,2065
Pokhara Broadband,Kathmandu,Private,2065
Mandala Electronics Solutions,Lalitpur,Private,2065
Intech Trade Circle,Kathmandu,Private,2065
Gems Handicraft,Kathmandu,Private,2065
Bhu-Kunj Engineering,Kathmandu,Private,2065
Best Approach Education Consultancy,Kathmandu,Private,2065
Swarna Laxmi Sub Money Transfer,Kathmandu,Private,2065
Joshi & Associate,Kathmandu,Private,2065
Speed Investment Company,Kathmandu,Private,2065
Fore Man Construction,Kathmandu,Private,2065
Nexus Suppliers,Kathmandu,Private,2065
Sopan Investment,Lalitpur,Private,2065
Aadarsha Packaging Industries,Nawalparasi,Private,2065
Lily Housing,Lalitpur,Private,2065
Gurans Investment,Lalitpur,Private,2065
Prime Housing,Lalitpur,Private,2065
Sabal Sajha Press,Kathmandu,Private,2065
Tulips Technologies,Kathmandu,Private,2065
Nirjana Aawash Company,Kathmandu,Private,2065
Life Care Services,Kathmandu,Private,2065
Shuva Prabhat Housing & Construction Trade,Kathmandu,Private,2065
Krishna Gautam International,Kapilvastu,Private,2065
Himalayan Green Gardens,Kathmandu,Private,2065
T.T.S. Costume Carpet,Kathmandu,Private,2065
Greenland Coffee Industries,Kavrepalanchowk,Private,2065
Champion Intercontinental,Bara,Private,2065
True Concepts,Kathmandu,Private,2065
Buddha Minimal Access Intervention Center,Kathmandu,Private,2065
krishna gandaki byabasaek talim kendra,Nawalparasi,Private,2065
Ever Green Media Advertising & Training Centre,Bhaktapur,Private,2065
Prasiddhika Housing,Kathmandu,Private,2065
Pamela Global Consultancy,Lalitpur,Private,2065
K.S.Tara Real Estate,Kathmandu,Private,2065
"Diabetes, Thyroid And Endocrinology Care Center",Lalitpur,Private,2065
Manakamana Insurance Company,Kaski,Public,2065
Kagbeni Construction,Kaski,Private,2065
Shubha Resort & Jungle Safari,Kathmandu,Private,2065
Siddhi Investment,Lalitpur,Private,2065
Canvas International Education Consultancy,Kathmandu,Private,2065
Meet Point Education Consultancy Plus Immigration Service,Kathmandu,Private,2065
Institute of Banking Studies,Kathmandu,Private,2065
Boby Vehicle Service,Kathmandu,Private,2065
Antar Santha Bahuudeshya Krishi Udhyog Kendra,Jhapa,Private,2065
Mount Everest Distillery,Rupandehi,Private,2065
Sabita Store,Kathmandu,Private,2065
Everest Fire Control Technologies,Kathmandu,Private,2065
Yunchhoma Travels and Tours,Kathmandu,Private,2065
Pokhara Everest  Trade  & Housing,Kaski,Private,2065
Healing Hands Beauty Parlour,Kathmandu,Private,2065
Siddhartha Niketan Balkot,District not known,Private,2065
Aama-Baa Hospital And Research Center,Gorkha,Private,2065
J.N. Exim,Kathmandu,Private,2065
Milkyway Kinder Garden,Kathmandu,Private,2065
Om Shivam Satya Sai Baba Auto,Kathmandu,Private,2065
Kushum Digital Recording Studio,Kailali,Private,2065
Subha Swadhin International Money Express,Kathmandu,Private,2065
Model Vision English Academy,Surkhet,Private,2065
Brilliant Orientation & Consultancy,Lalitpur,Private,2065
Premier Construction,Kathmandu,Private,2065
Rugs Carpet & Design Nepal,Kathmandu,Private,2065
Nepal Fair Step Treks & Expedition,Kathmandu,Private,2065
B.S.B.  Consultancy & Services,Jhapa,Private,2065
Bikash International,Lalitpur,Private,2065
Motherland International,Lalitpur,Private,2065
Chandra Shikhar Housing and Land Developing,Kathmandu,Private,2065
Sazilo Money Transfer,Kathmandu,Private,2065
Mission U.S.A. Education Consultancy,Kathmandu,Private,2065
Muna Housing & Development Company,Lalitpur,Private,2065
Sigma Enterprises,Kathmandu,Private,2065
Guru Bashistha Publication,Kathmandu,Private,2065
Eden Motel,Kathmandu,Private,2065
S.S. Handicraft & Marketing Concern,Kathmandu,Private,2065
Prawaha Tours & Travels,Kathmandu,Private,2065
Bio-Trade Concern,Kathmandu,Private,2065
Manav Dental Hospital,Jhapa,Private,2065
Max Com,Kathmandu,Private,2065
Numa Travel & Tours,Kathmandu,Private,2065
Rapid Communication Networks,Kathmandu,Private,2065
Shubha Deep International Business,Kathmandu,Private,2065
City Medicare Homes,District not known,Private,2065
Rukum Sisne Himal Pupal & Suppliers,Rukum,Private,2065
Janaki Investment & Sub-Remittance,Kathmandu,Private,2065
National Development Construction,Kathmandu,Private,2065
Sakura Retreat Training and Consultancy,Kathmandu,Private,2065
Gokarneshwar Light Academy,Kathmandu,Private,2065
Universal Marriage Bureau,Lalitpur,Private,2065
Dibya Polyclinic,Kathmandu,Private,2065
Kanchan Sub Money Transfer,District not known,Private,2065
Dhangadhi College of Information Technology,Kailali,Private,2065
Oshin Power Service,Rupandehi,Private,2065
Indrawati Construction,Kathmandu,Private,2065
U.M. Building Service,Kathmandu,Private,2065
Bronson Language Center,Kathmandu,Private,2065
Name Educational Consultancy,Kathmandu,Private,2065
Sagarmatha Asset Management,Lalitpur,Private,2065
Manakamana Money Exchange,Kathmandu,Private,2065
Rozway Bigyapan Agency,District not known,Private,2065
Guna Enterprises Pvt.Ltd.,Lalitpur,Private,2065
N.S. Water Enterprises,Kathmandu,Private,2065
Trikon Engineering Consultancy,Kathmandu,Private,2065
Shubh Interior and Labh Traders,Kathmandu,Private,2065
Aakriti Media & Entertainment,Kathmandu,Private,2065
Bhagyashwar Printing & Suppliers Company,Kathmandu,Private,2065
Saa International,Kathmandu,Private,2065
Glorious Export Import,Kathmandu,Private,2065
Worldlink Lahan Communication,Siraha,Private,2065
Hope Flower Trading,Kathmandu,Private,2065
ASHA KO FUL MINING COMPANY,Kathmandu,Private,2065
Inno-Tech Nepal,Lalitpur,Private,2065
Om Shanti Om Tours &  Travels,Kathmandu,Private,2065
Ever Prime Educational Consultancy Center,Kathmandu,Private,2065
Golden ABC Academy,Banke,Private,2065
Rangbo Garments Nepal,Lalitpur,Private,2065
Rhythm International Education,Kathmandu,Private,2065
Chandani Baluwa Udhyog,Kathmandu,Private,2065
Dupcheshwari Plastic Udhyog,Kathmandu,Private,2065
Worldlink Hetauda Communication,Makwanpur,Private,2065
Pioneer Solar Company,Lalitpur,Private,2065
Chandra Surya Niwas Nirman Sewa,Kathmandu,Private,2065
Gongabu Sub Money Transfer,Kathmandu,Private,2065
Faithful Academy,Lalitpur,Private,2065
Samyukta Aawash Bikash Company,Kathmandu,Private,2065
Kailash Automobiles,Kathmandu,Private,2065
Jyoti Educational Consultancy Center Nepal,Kathmandu,Private,2065
Duti-Ful Travels & Tours,District not known,Private,2065
U. & S. Real Estate & Housing Company,Kathmandu,Private,2065
P.P.S. Media Service,Kathmandu,Private,2065
Canvas Advertising Agency,Kathmandu,Private,2065
Phuljor Baba Janasewa Wachat Investment,Sarlahi,Private,2065
Saras International,Kathmandu,Private,2065
S.S.R.L. Housing Company,Kathmandu,Private,2065
Shangrila Housing,Kathmandu,Private,2065
Classic Furnishing Center,Kathmandu,Private,2065
Admix Media Advertising,Kathmandu,Private,2065
Yatra Computer,Kathmandu,Private,2065
Sustainable Women Development & Research Center,Lalitpur,Non-Profit Distributing,2065
Mattim Bright Future English Boarding School,Khotang,Private,2065
Smart Open Academy,Kaski,Private,2065
Alpine Everest Guides Nepal Treks & Expedition,Kathmandu,Private,2065
Dynamic Vision Engineering and Reality,Kaski,Private,2065
Samson International,Kathmandu,Private,2065
Dynamic Event Management,Kathmandu,Private,2065
Marigold Nepal,Kathmandu,Private,2065
Sher Construction & Convey,Bhaktapur,Private,2065
Asset Recovery Management,Kathmandu,Private,2065
Surakshit Security Training,Kaski,Private,2065
Makalu Security Service,Sunsari,Private,2065
Mata Manakamana Aawash Company,District not known,Private,2065
J.D.M. Educational Consultancy,Lalitpur,Private,2065
Siddhartha Bidhya Niketan Dhangadhi,Kailali,Private,2065
Gulf Auto Care & Driving Training Center,Jhapa,Private,2065
Sudarshan English Boarding School,Udayapur,Private,2065
Chirayu Dental Hospital & Research Centre,Morang,Private,2065
Yojana Developers Company,Kathmandu,Private,2065
Siddha Bhairab Digital Colour Lab,Palpa,Private,2065
Leena Trade Concern,Kathmandu,Private,2065
Himchuli Jagga Tatha Awas Company,Jhapa,Private,2065
Vision Dream World Consultancy,Kaski,Private,2065
Absolute Research & Advertising,Kathmandu,Private,2065
Janakpur Public English Awasiya School Dhanusha,Dhanusha,Private,2065
Bennebroek Hotel & Restaurant,Kaski,Private,2065
K.U.P. Complex,Kathmandu,Private,2065
Sindhuligadhi Public English School,District not known,Private,2065
Danial Edward Garment Industries,Kathmandu,Private,2065
Mark Global Logistics,Kathmandu,Private,2065
Silk Road Consaltancy,Kathmandu,Private,2065
Prachanda International Education,Kathmandu,Private,2065
Chaturbhujeshwar Financial Service,Sarlahi,Private,2065
Shrijanshil Prativa Shiksha,Kathmandu,Private,2065
Pragati Investment,Kathmandu,Private,2065
Journey's & Karma Treks,Kathmandu,Private,2065
Astabhuj Construction,Kathmandu,Private,2065
Lord Krishna Smita English Medium School,Banke,Private,2065
Bijaya Laxmi Property Dealers,Kathmandu,Private,2065
Planet Earth Tours,Kathmandu,Private,2065
Dangol Nirman Sewa,Kathmandu,Private,2065
Peaceful Himalaya Trekking,Kathmandu,Private,2065
Freight Master Logistics,District not known,Private,2065
Sahash Tours and Travels,Kailali,Private,2065
Trekkers Adventure Life Style,Kathmandu,Private,2065
Mirmire Computer Training Institute,Kathmandu,Private,2065
Community Media,Morang,Private,2065
Uram Namuna English Boarding School,District not known,Private,2065
Om Prem Guest House,Lalitpur,Private,2065
Trishul Export,Kathmandu,Private,2065
Vidyapati Memorial English Boarding School,Dhanusha,Private,2065
Pragyic Consultancy,Kathmandu,Private,2065
Education & Profession Training Institute Nepal,Kathmandu,Private,2065
Clover Tour & Travels,Kathmandu,Private,2065
U. & B. Hospital,Kathmandu,Private,2065
Divine World Tours & Travels,Kathmandu,Private,2065
Ad. Guru,Kathmandu,Private,2065
Bal Pratibha English Bidhyalaya,Dang,Private,2065
Diva Tours and Travels,Kathmandu,Private,2065
Mor Pheus Computers,Kathmandu,Private,2065
Praxis Pharmaceutical,Kathmandu,Private,2065
Mount Everest Sherpa Treks & Expedition,Kathmandu,Private,2065
Kalpa Vrichchya Consulting,Kathmandu,Private,2065
Om Aashutosh Housing,Kathmandu,Private,2065
Lumbini Pharmaceuticals,Rupandehi,Public,2065
Sahabhagita Housing & Development,Kathmandu,Private,2065
Nepal Lucky British Gorkha Physical Education Centre,Sunsari,Private,2065
Recent Media,Kathmandu,Private,2065
World Destination Tours & Travels,Kathmandu,Private,2065
Greenlight Academy,Kailali,Private,2065
Annapurna Foothills Treks & Expedition,Kathmandu,Private,2065
Khasti Pucha Investment,District not known,Private,2065
Aayushma Polyclinic and Research Center,Dhanusha,Private,2065
Daju Bhai Housing Company,Kathmandu,Private,2065
Aalok Overseas,Kathmandu,Private,2065
Trishakti Developers,Kathmandu,Private,2065
Travel Light,Kathmandu,Private,2065
Voice Education Consultancy,Kathmandu,Private,2065
Molex I.T. Solution,Lalitpur,Private,2065
Sunlight Property Dealers,Bhaktapur,Private,2065
Duruwa Balmiki Vidhyashram English Boarding School,Dang,Private,2065
Majority Travels & Tours,Kathmandu,Private,2065
Children Future Development English Boarding School,Dolakha,Private,2065
Venture Trade,Kathmandu,Private,2065
Pyramid Educational Services,Kathmandu,Private,2065
Swaniga Engineering Consultancy,District not known,Private,2065
Buddha Investment,Kaski,Private,2065
Venus Developers,Kathmandu,Private,2065
Madhyamanchal Regional Engineering College,Dhanusha,Private,2065
B. & B. Enterprises,Kathmandu,Private,2065
Auston Education Consultancy,Kathmandu,Private,2065
Swayambhu Haratimata Suppliers,Kathmandu,Private,2065
Public Horizon English Boarding School,Rolpa,Private,2065
Giga Education & Migration Services,Kathmandu,Private,2065
Shanishchar Travels and Tours,Sunsari,Private,2065
Sadichchha Trading Concern,Kathmandu,Private,2065
Frontliners Language and Training Center,Kaski,Private,2065
English Business School,Kathmandu,Private,2065
Namaste Pokhara Broadcasting Studio,Kaski,Private,2065
Himal Natural Fruit Candy,Kathmandu,Private,2065
Shova Homes,Kathmandu,Private,2065
M.K.M. Construction,Lalitpur,Private,2065
Sunakothi Radha Krishna Dairy Udhyog,Lalitpur,Private,2065
Jaya Gorakhakali Real Estate,Lalitpur,Private,2065
Jaya Bhole Baba Housing Company,Rupandehi,Private,2065
Marilen Enterprises,Kathmandu,Private,2065
Marilen Herbal Industries,Kathmandu,Private,2065
GMR Upper Karnali Hydropower,Lalitpur,Public,2065
Chitwan Poly clinic & Research Centre,Chitwan,Private,2065
Phulbari R.S. Trade,Sindhupalchowk,Private,2065
Harinarsingh Bhattachan Foundation,Kathmandu,Non-Profit Distributing,2065
Info Touch Nepal,Kathmandu,Private,2065
Rukum Everest English Academy,Rukum,Private,2065
Education And Migration Nepal,Kathmandu,Private,2065
Valley Green Energy,Kathmandu,Private,2065
Janata Hospital & Research Center,District not known,Private,2065
G.M.T. International Media,Kathmandu,Private,2065
Roshani Creation Company,Kathmandu,Private,2065
Abhilekh Developers,Kathmandu,Private,2065
Kabiyatri Builder's,Kathmandu,Private,2065
Ilam Jaubari Tea Estate,Lalitpur,Private,2065
Nikhilesh Travel & Tours,Kathmandu,Private,2065
Kunwar Investment Company,Kaski,Private,2065
Essential Sports Consultancy,Kathmandu,Private,2065
N.S. Institute and Consultancy,Banke,Private,2065
B.K. Tele Sub Mobile Sale & Repairing Center,Kathmandu,Private,2065
Shree Jyoti Construction & Developers,Kathmandu,Private,2065
South Engineering Consultancy,Kaski,Private,2065
Dordi Hydropower,Kathmandu,Private,2065
Chaand Traders,Kathmandu,Private,2065
CHAAND TRADERS,Kathmandu,Private,2065
Swargadwari Investment Company,Kathmandu,Private,2065
Housing and Apartment Developers,Kathmandu,Private,2065
S.P. Emporium Company,Kathmandu,Private,2065
Humagain World Traders,Kathmandu,Private,2065
Nepal Montessori Training Center,Lalitpur,Private,2065
Shubha Labha Cassette Center,Kathmandu,Private,2065
World Vision Developers and Builders,Bhaktapur,Private,2065
Binayak Diamond English Medium Boarding School,District not known,Private,2065
Glitters Studio,Kathmandu,Private,2065
Pokhara Mixture,Kaski,Private,2065
Westar Properties,Kathmandu,Private,2065
Rajbir Hydropower Company,Myagdi,Private,2065
Apex Educational Academy,Kathmandu,Private,2065
Asian Modern Employment Service,Kathmandu,Private,2065
Dolma Thangka Arts Centre,Kathmandu,Private,2065
Sahara English Medium School Surkhet,District not known,Private,2065
Oracle Travels & Tours,Kathmandu,Private,2065
Kashyap Medical,Kaski,Private,2065
Aura Educational Consultancy,Sunsari,Private,2065
Ad. Age,Kathmandu,Private,2065
Kitchen Hut,Banke,Private,2065
Home Of Perfect Education Consultancy,Kathmandu,Private,2065
Alternative Media,Kathmandu,Private,2065
Garnish Hotel & Family Resort,Bhaktapur,Private,2065
Light Pole Star Academy,Sindhuli,Private,2065
Damak Technical Education Foundation,Jhapa,Private,2065
Halede Hillside Herbs,Kavrepalanchowk,Private,2065
Educational Resource & Service Center,Kathmandu,Private,2065
Shrestha Management & Investment International,Kathmandu,Private,2065
Hello Mark Education Consultancy,Kathmandu,Private,2065
Aadarsha Seed Company,District not known,Private,2065
Entrance Educational Consultancy,Kathmandu,Private,2065
Rosedale Developers,Kathmandu,Private,2065
Himshringkhala Hydro Power,Lalitpur,Private,2065
Hua Yue Mining Company,Kathmandu,Private,2065
Centure Publication Home,Kathmandu,Private,2065
Birala Cement,District not known,Private,2065
Quantum Energy,Lalitpur,Private,2065
Raksha Trading House,Lalitpur,Private,2065
Jungle Sunset Camp,Chitwan,Private,2065
Yunchhoma Money Transfer,Kathmandu,Private,2065
Bani Academy,Kathmandu,Private,2065
Arrow Net,Kathmandu,Private,2065
Ambuj Money Transfer,Kathmandu,Private,2065
U.S.-Nepal Tex. & Handicraft Industries,Kathmandu,Private,2065
Sagar Home,Kathmandu,Private,2065
Applied Value,Lalitpur,Private,2065
B.G. Net,Kathmandu,Private,2065
Shiva Om Housing,Kathmandu,Private,2065
Pashchimanchal Seed Company,Rupandehi,Private,2065
Youth Vision Educare Service,Kathmandu,Private,2065
Magno Tech Link,Lalitpur,Private,2065
Umamaheshwor Trading,Kathmandu,Private,2065
Mount Everest Marriage Bureau,Lalitpur,Private,2065
Glass Etching Centre,Kathmandu,Private,2065
Social Development Research Support Action,Kathmandu,Private,2065
Jaya Bhawani Housing & Construction Company,Kathmandu,Private,2065
Western Medical Center,Kathmandu,Private,2065
Deluxe Convention Center,Lalitpur,Private,2065
World Buddhist Handicraft Industries,District not known,Private,2065
Sports & Nature Couriers,Kathmandu,Private,2065
Pythagoras Education Institute & Consultancy,Kaski,Private,2065
Joshipur Heaven Garden Boarding School,Kailali,Private,2065
Troika International,Lalitpur,Private,2065
Gaurab Integrated Development Associates Nepal,Bhaktapur,Private,2065
Sunil Enterprises,Rupandehi,Private,2065
Reshma Furniture Udhyog,Kathmandu,Private,2065
Betrawati Hydro Electric Company,Kathmandu,Public,2065
Mustang Education & Technical Institute,Lalitpur,Private,2065
Shangrila Adventures,Kathmandu,Private,2065
Open Sky Treks and Expedition,Kathmandu,Private,2065
Global Unique Sub Money Transfer,Kathmandu,Private,2065
Bishwa Jyoti Academy,Surkhet,Private,2065
Amar Jyoti Hydropower,Lalitpur,Private,2065
Advocate Service Network,Kathmandu,Private,2065
Kritipur Housing Company,Kathmandu,Private,2065
Pristine Mountain Adventure,Kaski,Private,2065
Bageswari Training and Consultancy,Banke,Private,2065
Polaris Consultancy,Kathmandu,Private,2065
A Team Audio Video Production,Kathmandu,Private,2065
Jewel Advertising and Marketing,Kathmandu,Private,2065
Himalayan Tea Estate Siranchowk Gorkha,Kathmandu,Private,2065
Chomolungma Training and Consultancy,Kathmandu,Private,2065
Green Way Education Nepal,Kathmandu,Private,2065
Beni Shiksha Sadan School,Dhading,Private,2065
Sahayogi Housing & Development,Kathmandu,Private,2065
Jyoti Bikash Bank,Kathmandu,Public,2065
Angel and Aman Enterprises,Kathmandu,Private,2065
Juna Devi English Boarding School,Gorkha,Private,2065
Rohit Enterprises,Kathmandu,Private,2065
Castle Sub Money Transfer,Kathmandu,Private,2065
I.A.O. Consultancy,District not known,Private,2065
Shuva Prava Motor Driving Training Center,Kathmandu,Private,2065
Yujin International Educational,Kathmandu,Private,2065
Takshashila Academy Banke,Banke,Private,2065
Himalayan Route Trading,Kathmandu,Private,2065
Zenether Technologies,Lalitpur,Private,2065
Host And Site,Lalitpur,Private,2065
Tsubasa Consultant,Kathmandu,Private,2065
Creators Nepal I.T. Solutions,Kathmandu,Private,2065
Prime Medico,Kathmandu,Private,2065
P.K. Property Dealers,Kathmandu,Private,2065
Golden Park Academy,District not known,Private,2065
Biratnagar Aspataal,District not known,Private,2065
Bipana Training Link,Rupandehi,Private,2065
Brothers Entertainment,Kathmandu,Private,2065
Triyuga Training Solution,Udayapur,Private,2065
Wisdom Institute And Hotel Training Centre,Kathmandu,Private,2065
Empire International Travels And Tours,Kathmandu,Private,2065
Dhaulagiri Housing,Kaski,Private,2065
Life Dicovery,Kathmandu,Private,2065
Siddhartha Gautam Memorial English Boarding School,Kapilvastu,Private,2065
Ishu Business Concern,Kathmandu,Private,2065
Citizen Offset Press,Kathmandu,Private,2065
Manasalu Energy,Kathmandu,Private,2065
Sarawoti Bani Educational Academy Rajbiraj,Saptari,Private,2065
Zen Construction & Crusher Industries,Tanahun,Private,2065
Creative Hands Of Everest,Kathmandu,Private,2065
Everest Tenzing Travel & Tours,Jhapa,Private,2065
Blue Flag International Consultancy,District not known,Private,2065
Ganapati Developers,Bhaktapur,Private,2065
Thegim Construction Company,Kailali,Private,2065
Smart Telecom,Lalitpur,Private,2065
Visa Express,District not known,Private,2065
Meditech International Academy,Kathmandu,Private,2065
Nepal Nature Luxuary Spa Resort,Kathmandu,Private,2065
Uni-Vest Management,Kathmandu,Private,2065
Siddhi Laxmi Homes and Investment,District not known,Private,2065
China Business Promotion,Kathmandu,Private,2065
Apollo International Trade Link,Kathmandu,Private,2065
Tourism Nepal,Lalitpur,Private,2065
Kali Gandaki Cargo Sewa,Kathmandu,Private,2065
Grand Nepal Health Care & Research Center,Lalitpur,Private,2065
Sani. Tech. Consulting Engineers,Kathmandu,Private,2065
Bhuwar Bhawani English Boarding School,Banke,Private,2065
Gyasuli Hydropower Company,Kathmandu,Private,2065
K.Two Beverage,Kaski,Private,2065
Shanghai Fast Food,Kathmandu,Private,2065
Kylin Restaurant,Kathmandu,Private,2065
Nepal China Skin Care & Poly Clinic,Lalitpur,Private,2065
Interactive Education Services,Kathmandu,Private,2065
Professional Construction Development,Kathmandu,Private,2065
Jabegu Mountain Travels And Tours,Kathmandu,Private,2065
Laxmi Energy,Kathmandu,Private,2065
Annapurna Cyber Communication,Kathmandu,Private,2065
Satyam Enterprises,Lalitpur,Private,2065
K.C. Digital Colour Lab,District not known,Private,2065
Express Cosmic Travels Nepal,Kathmandu,Private,2065
Good Alliance Overseas,Kathmandu,Private,2065
National Center For Communicable Disease,Lalitpur,Private,2065
Royal Tech Engineering Consultancy & Housing,Kathmandu,Private,2065
Durga Bhagwati English Boarding School,Saptari,Private,2065
World Security Force,Morang,Private,2065
SAARC Chamber Crafts Village,Kathmandu,Non-Profit Distributing,2065
A.D. Business Concern,Kathmandu,Private,2065
Myagdi Sapana Guest House & Restaurant,Kathmandu,Private,2065
Advance Development Real Estate Company,Lalitpur,Private,2065
Delta Seed Company,Lalitpur,Private,2065
Home Food,Kathmandu,Private,2065
North Human Publication,Kathmandu,Private,2065
Chandika Constructions,Kathmandu,Private,2065
Vertex Ad. International,Kathmandu,Private,2065
Sriganesh M.G. Housing,Kathmandu,Private,2065
Sahara Medicine Distributors,Lalitpur,Private,2065
Papa's House,Kathmandu,Non-Profit Distributing,2065
Araniko Land & Development,Kathmandu,Private,2065
Lapa Hydropower Company,Kathmandu,Private,2065
Borang Hydropower Company,Kathmandu,Private,2065
Falcon Advertising Service,District not known,Private,2065
Beijing Xi Ye Housing,District not known,Private,2065
Shangrila Unique Rugs & Handicraft,Kathmandu,Private,2065
Nepal Nomad Tours,Kathmandu,Private,2065
Rishikesh Services,Lalitpur,Private,2065
Yulo Hotel,Kathmandu,Private,2065
Unique Himalaya Tours and Travels,Kathmandu,Private,2065
Prakash Trading,Kathmandu,Private,2065
Jaya D.J.S. Construction,Kathmandu,Private,2065
Jaya Sundarimai Handicrafts,Kathmandu,Private,2065
Chintan Publications and Services,Jhapa,Private,2065
Housing & Plotting Concern,Kathmandu,Private,2065
Abhash Travels,District not known,Private,2065
Millenium Homes,Kathmandu,Private,2065
Everest Renewables,Kathmandu,Private,2065
Aarya Aroma Industries,Kathmandu,Private,2065
Janaki Traders,Lalitpur,Private,2065
Kotkali Educational Research Training And Consultancy,Kathmandu,Private,2065
Machhapuchchhre Technical Academy,Kathmandu,Private,2065
Millenium Multi Solution,Kathmandu,Private,2065
SEBO,Kathmandu,Private,2065
Shakespeare Educational Foundation,Kathmandu,Private,2065
Synergy Pacific Consultants,Kathmandu,Private,2065
Shanti Media,Bara,Private,2065
K.S.A. Holdings,Kathmandu,Private,2065
kantipur digital corp.,Kathmandu,Private,2065
Innovate Commercial Enterprises,Kathmandu,Private,2065
Binayak Social Service Center,Kathmandu,Private,2065
