ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
Yomari Tha,Morang,Private,2063
WAVE NET TECHNOLOGY,Kathmandu,Private,2063
K.P. BYABASAYIK SEWA PVT. LTD.,Surkhet,Private,2063
SOUTH ASIAN EMPLOYMENT,Kathmandu,Private,2063
ERIKA INTERNATIONAL,Kathmandu,Private,2063
OPEN VISION CONSULTANT,Kathmandu,Private,2063
RAPPORT INTERNATIONAL COMPANY,Kathmandu,Private,2063
SHIKHA POLY CLINIC AND DIAGNOSTIC CENTER WITH DENTAL CARE,Jhapa,Private,2063
BHERI BIDHYA MANDIR ENGLISH SCHOOL BANKE,Banke,Private,2063
LOTUS DEVELOPER,Lalitpur,Private,2063
GARDEN VILLA  DEVELOPER,Lalitpur,Private,2063
DELIGHT EDUCATION FOUNDATION & CONSULTANCY,Kathmandu,Private,2063
GODAVARI DEVELOPER,Lalitpur,Private,2063
H.R. CONSULTANTS,Lalitpur,Private,2063
KAILASH COLONY KHANEPANI,Kathmandu,Private,2063
SERVING BEST TRADING PVT. LTD.,Kathmandu,Private,2063
RAM SETI INVESTMENT COMPANY,Kaski,Private,2063
OASIS DEVELOPER PVT. LTD.,Lalitpur,Private,2063
Subhechya International Pvt .Ltd.,Lalitpur,Private,2063
SHIVASHAKTI EDUCATION FOUNDATION,Dhanusha,Private,2063
Nepal bank,Kathmandu,Public,2063
JAVRA SOFTWARE NEPAL,Lalitpur,Private,2063
BIRAT SAI ACADEMY,Parsa,Private,2063
ANNEX WORLDWIDE EXPRESS,Kathmandu,Private,2063
MILAN COMMUNICATION,Kathmandu,Private,2063
GOOD LUCK HOUSING AND CONSTRUCTION COMPANY,Kathmandu,Private,2063
AARAMBHA MEDIA,Kathmandu,Private,2063
Rastriya Banija Bank,Kathmandu,Public,2063
NIAGARA FALLS IMMIGRATION & EDUCATIONAL CONSULTANCY,Kathmandu,Private,2063
WORLDWIDE INFORMATION & CRAFT TRADE FAIR,Kathmandu,Private,2063
ROSE HOUSING COMPANY,Lalitpur,Private,2063
STAR HOLIDAYS,Kathmandu,Private,2063
MAKAWANPUR VUTANDEVI GUEST HOUSE & RESTURANT,Kathmandu,Private,2063
UNIVERSAL SUBLIME ACADEMY,Baglung,Private,2063
SHIVA ADVENTURE,Kathmandu,Private,2063
PEACE ENTERPRISES,Kathmandu,Private,2063
OM P. ENTERPRISES,Kathmandu,Private,2063
FAR WEST I.T. EDUCATION ACADEMY,Kailali,Private,2063
Jeevankala Nepal,Lalitpur,Non-Profit Distributing,2063
FLORID DEVELOPERS,Lalitpur,Private,2063
SHIVA SHAKTI EXIM,Kathmandu,Private,2063
HOTEL GULMI-RUDRAWATI,Kathmandu,Private,2063
DIGITAL ERA,Lalitpur,Private,2063
BIPSAN TRADING,Kathmandu,Private,2063
REEMA ASSOCIATE,Kathmandu,Private,2063
KAILASH HYDROPOWER,Lalitpur,Private,2063
shiva shakti exim,Kathmandu,Private,2063
BAIRANGKUNDA HOUSING,Kathmandu,Private,2063
HOTEL VISION NEPAL,Kathmandu,Private,2063
ENGINEERS & TRAINERS ASSOCIATES,Kathmandu,Private,2063
DINESH PRESS,Kailali,Private,2063
UNICORN EDUCATIONAL FOUNDATION,Kathmandu,Private,2063
SWEET LAND REAL ESTATE,Kathmandu,Private,2063
G.T.S. CONSTRUCTION,Syangja,Private,2063
MULTIPURPOSE INSTITUTE OF TECHNICAL SKILL,Kathmandu,Private,2063
SAHAYATRI MUSIC,Kathmandu,Private,2063
OM SATYA SAIRAM HOUSING,Kathmandu,Private,2063
ULTIMATE I.T. SOLUTION,Kathmandu,Private,2063
SHANTI GRIHA COMPUTER TRAINING,Kaski,Private,2063
PANCHA BUDDHA HOUSING & PLANNING,Kavrepalanchowk,Private,2063
Gorakshya Nikhil Jyoti Dibya Vidhyashram,Kathmandu,Non-Profit Distributing,2063
BARAHI HYDROPOWER,Lalitpur,Public,2063
BAGAMATI INTERNATIONAL,Lalitpur,Private,2063
B.P.S. SERVICE & SUPPLIERS COMPANY,Kathmandu,Private,2063
DIYA NURSERY,Lalitpur,Private,2063
SWIKRITI NEPAL,Kathmandu,Private,2063
KATHMANDU NAGAR BASTI BIKAS COMPANY PVT. LTD.,Kathmandu,Private,2063
SHUBHA PADHMA SHREE ENTERPRISES,Kathmandu,Private,2063
SHERPA TRADE,Kathmandu,Private,2063
AZAD CONSULTANTS,Lalitpur,Private,2063
OMNI ENGINEERING,Lalitpur,Private,2063
NEPAL ABHIYAN PRESS,Kathmandu,Private,2063
KUMBHAKARNA HYDROPOWER DEVELOPMENT,Kathmandu,Private,2063
DOBHAN CONSTRUCTION AND HOUSING COMPANY,Lalitpur,Private,2063
MUKTISHREE,Kathmandu,Private,2063
KESHA HOUSING,Kathmandu,Private,2063
MATA SARASWATI PRAGYA PRATISTHAN,Lalitpur,Private,2063
NAGADAHA FLORICULTURE,Lalitpur,Private,2063
WEB SOLUTION & NETWORK,Kathmandu,Private,2063
Bhatbhateni Sanjeevani Clinic,Kathmandu,Private,2063
MODEL PUBLIC SCHOOL,Sunsari,Private,2063
GREEN PEACE DEVELOPERS,Kathmandu,Private,2063
SHREE CARES POLYCLINIC,Kathmandu,Private,2063
THE CAPITAL SOCIAL SERVICES,Kathmandu,Private,2063
FISHTAIL DAIRY,Kaski,Private,2063
NEPAL I.T. & KOREAN LANGUAGE TRAINING CENTRE,Kathmandu,Private,2063
MONEY TO MONEY INTERNATIONAL,Kathmandu,Private,2063
LAXMI NAMRA ENTERPRISES,Kathmandu,Private,2063
SAN YOG TRADE,Kathmandu,Private,2063
INSTANT MONEY TRANSFER,Kathmandu,Private,2063
OM SHIVA OVERSEAS,Lalitpur,Private,2063
TOPPAN FORMS NEPAL,Lalitpur,Private,2063
MOUNTAIN SPORTS,Kathmandu,Private,2063
My Agro Industry,Kathmandu,Private,2063
M.S.INVESTMENT COMPANY PVT. (LIQ.2067/3/20),Kaski,Private,2063
DIMENSIONS EDUCATIONAL CONSULTANCY,Kathmandu,Private,2063
AERONAUTIC TRADING CONCERN NEPAL,Kathmandu,Private,2063
STAR GURKHA'S GUEST HOUSE,Kathmandu,Private,2063
NEW MINSU PUBLIC SCHOOL,Kailali,Private,2063
DHARAHARA POLY CLINIC & DIAGNOSIS CENTER,Kathmandu,Private,2063
SHARP DELIVERY SERVICE,Kathmandu,Private,2063
