ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
Baijanath RiverSide Resort,Achham,Private,2070
Jagat Shree Agroherbs and Minarals,Achham,Private,2070
Ramaroshan Polyclinic,Achham,Private,2070
Arghakhanchi Maha Udhyog,Arghakhanchi,Private,2070
Jaya Matadi Broadcasters,Arghakhanchi,Private,2070
Dimond Krishi Farm Pvt.Ltd.,Arghakhanchi,Private,2070
Baglung Computer Insittute,Baglung,Private,2070
Siddha Bhairab Crusher & Construction,Baglung,Private,2070
Kandebas Investment Company,Baglung,Private,2070
Saphal Polyclinic,Baglung,Private,2070
Gold Mine Gobar Gyas Energy Company,Baglung,Private,2070
Super Baglung Bhagawoti Nirman Sewa,Baglung,Private,2070
Journey Of Natural Concept,Baglung,Private,2070
Ecode International,Baglung,Private,2070
Chauri Jadibuti Udhyog,Baglung,Private,2070
Galkot Link,Baglung,Private,2070
Manakamana English Boarding School Baglung,Baglung,Private,2070
A.B.C. Tradelink Pvt. Ltd.,Baglung,Private,2070
Golden Get Educational Center,Baglung,Private,2070
Machhapuchchhre Investment & Multi-Traders Pvt.Ltd,Baglung,Private,2070
King Star Travel and Tours,Baitadi,Private,2070
Gwallek Nirman Sewa,Baitadi,Private,2070
Inovation Educational English Boarding School,Bajhang,Private,2070
Peace up Heaven Academy Bajhang,Bajhang,Private,2070
Bajhang Light English Boarding School  Pvt. Ltd,Bajhang,Private,2070
Suryadaya English Boarding School Pvt.Ltd.,Bajhang,Private,2070
Model Academy Bajhang,Bajhang,Private,2070
Jeewan Smriti English Boarding School Bajhang Pvt. Ltd.,Bajhang,Private,2070
Broad Vision Academy Bajhang,Bajhang,Private,2070
Paras Oil Store,Bajhang,Private,2070
Masta Vision English Boarding School Bajhang,Bajhang,Private,2070
Banni Masta English Boarding School,Bajhang,Private,2070
White Stone Acadamy Bajhang,Bajhang,Private,2070
Sudurpaschimanchal Vidya Sadan Bajhang,Bajhang,Private,2070
Dudeermasta Biddhya Mandir  Bajhang Pvt.Ltd.,Bajhang,Private,2070
Dahabagar Boarding School Bajhang,Bajhang,Private,2070
Arthik Tatha Krishi Utthan,Bajura,Private,2070
Badimalika Tribeni Construction,Bajura,Private,2070
Child Development English Boarding School Bajura,Bajura,Private,2070
Keystone Management College,Banke,Private,2070
International Institute of Management College,Banke,Private,2070
Sagun College of Management,Banke,Private,2070
Nepalgunj Polyclinic And Diagnostic,Banke,Private,2070
Pashupati College of Management and Technology,Banke,Private,2070
Bheri College of Management & Technology,Banke,Private,2070
Everest International Polyclinic and Diagnostic Center,Banke,Private,2070
Sunita Traders and Suppliers,Banke,Private,2070
Nawa Kiran Nirman Sewa tatha Suppliers,Banke,Private,2070
Innovative Professional College,Banke,Private,2070
Chartered International College,Banke,Private,2070
Adarsh College of Management,Banke,Private,2070
Top One Restaurant & Bar With Dance,Banke,Private,2070
Madhyapaschim Prashikshan Kendra,Banke,Private,2070
Western Management College,Banke,Private,2070
Bageshwori Polyclinic,Banke,Private,2070
Shikhar Spice & Fruit Industries,Banke,Private,2070
Khadka Group Pvt. Ltd.,Banke,Private,2070
Mai Dental Hospital,Banke,Private,2070
Nepalgunj Campus Of Management  And Technology,Banke,Private,2070
Yog Awam Prakritik Swasthya Sewa,Banke,Private,2070
Nepalgunj Business Link,Banke,Private,2070
Light Vision Cable Network,Banke,Private,2070
United Minerals,Banke,Private,2070
Anugraha Security Services,Banke,Private,2070
Devchuli Travel and Tour,Banke,Private,2070
Ideal Pharmaceuticals Company,Banke,Private,2070
Satya Herbal Products,Banke,Private,2070
Shree Rani Sati Investment Company,Banke,Private,2070
Shrish Traders,Banke,Private,2070
West Zone Tours & Travels,Banke,Private,2070
Savyata English Medium School,Banke,Private,2070
Nava Jyoti English Medium School,Banke,Private,2070
Shaibaba Cable T V Network,Banke,Private,2070
Gorakhnath Training Centre,Banke,Private,2070
Janasewa Yatayat,Banke,Private,2070
Hard Rock Restaurant and Dance Bar,Banke,Private,2070
Agape Institute of Study Abroad Consultanchy,Banke,Private,2070
Shree Balaji Gold Investment,Banke,Private,2070
Madhyapaschim Bageswori Training Centre,Banke,Private,2070
Trishakti Refueling,Banke,Private,2070
Nimble College,Banke,Private,2070
Nimble Academy Banke,Banke,Private,2070
Al Star Crompton,Banke,Private,2070
Sahara Jet King Educational & Consultancy,Banke,Private,2070
Krishnasar Cottage & Resthouse,Banke,Private,2070
Yummy Foods,Banke,Private,2070
Akash Cable & Wire Industries,Banke,Private,2070
Dolpo Sagar Travels & Tours,Banke,Private,2070
Peace Siddhartha Cottage & Restaurant,Banke,Private,2070
Lila Trade House,Banke,Private,2070
Mechi Kali Gobar Gas Tatha Saurya Urja Bikas Company,Banke,Private,2070
Malika Kisani,Banke,Private,2070
Gorkha Two Star Security and Manpower Supply Service,Banke,Private,2070
Gau sahar Biogas tatha Urja Bikas Company,Banke,Private,2070
Night Star Dance Bar,Banke,Private,2070
Banke Aankha Aspatal,Banke,Private,2070
Krishna English Medium School,Banke,Private,2070
Kabil Health Tech,Banke,Private,2070
Institute Of Crystal Knowledge Boarding School Banke,Banke,Private,2070
Bageshwori Advance Multi-Consult,Banke,Private,2070
Nepalgunj Agro Products,Banke,Private,2070
Manzari Trading Concern,Banke,Private,2070
Best Mid West Tours And Travels,Banke,Private,2070
M.P. Enterprises & Settlement  Pvt.Ltd,Banke,Private,2070
New Alpha Multiple Academy Banke,Banke,Private,2070
NIGHT ANGEL DANCE RESTAURANT & BAR,Banke,Private,2070
Nobel Technical & Medical Science College Pvt. Ltd.,Banke,Private,2070
S.M.B. Plywood Industries,Banke,Private,2070
Namaste Care Center,Banke,Private,2070
Shree Masta International Pvt.Ltd,Banke,Private,2070
Panas Auto Motors,Banke,Private,2070
Central Agro Forestry Pvt.Ltd.,Banke,Private,2070
Mansari Mineral Water,Banke,Private,2070
Peaceland Vidhaya Niketan Banke,Banke,Private,2070
New Shivashakti Dhuwani Sewa,Banke,Private,2070
OM PLY AND FURNITURE PVT. LTD.,Banke,Private,2070
Super Six Investment Company,Banke,Private,2070
M.P. International Trade Center Pvt.Ltd,Banke,Private,2070
Max Polymers Industries,Banke,Private,2070
Gyankunj English Medium School Banke,Banke,Private,2070
Santushti Cottage,Banke,Private,2070
Bheri Foot Wear Industries,Banke,Private,2070
veri meat shop and cold store Pvt.Ltd,Banke,Private,2070
Monalisa Surgical House,Banke,Private,2070
Nepalganj Institute Of Technical Education,Banke,Private,2070
Samata Microfinance Bittiya Sanstha,Bara,Public,2070
Churiyamai Petrolium Center,Bara,Private,2070
Balmiki Gurukul English Boarding School,Bara,Private,2070
Gyanguna Krishi Firm,Bara,Private,2070
Laligurans English Boarding School Bara,Bara,Private,2070
Rupa Import Export & Traders Company,Bara,Private,2070
Global Cable Net,Bara,Private,2070
Pragati Trade Concern,Bara,Private,2070
Asian Deep Tubewell Construction Company,Bara,Private,2070
Divya Jyoti Ship bikash Kendra,Bara,Private,2070
Gadhimai Krishi Utpadan Prashodhan tatha Anusandhana Kendra,Bara,Private,2070
Nepal Alpine Media,Bara,Private,2070
Om Shanti Dental Clinic,Bara,Private,2070
Bal Mandir English Boarding School,Bara,Private,2070
Mohit Organics Company,Bara,Private,2070
Musarimai Krishi Farm,Bara,Private,2070
Miteri Food Corner,Bara,Private,2070
Bara Dairy Products,Bara,Private,2070
Amlekhgunj Samudayik Hospital,Bara,Private,2070
Mirchi Media,Bara,Private,2070
Ratnaraj Academy English Boarding School,Bara,Private,2070
Jitpur Travels and Tours,Bara,Private,2070
S.M. Music,Bara,Private,2070
Krishi Van Tatha Paramarsa Kendra,Bara,Private,2070
Rahul English Boarding School,Bara,Private,2070
Riya Menpower Supplier,Bara,Private,2070
Alpine Medical College Teaching Hospital,Bara,Private,2070
Wonder world Travels and Tours,Bara,Private,2070
Feta Nursing Home,Bara,Private,2070
Shree Tirupati Balaji Flour Mills,Bara,Private,2070
Aryan Feed Industries,Bara,Private,2070
Nabin Star Security Guard,Bara,Private,2070
Nepaya Meat Production,Bara,Private,2070
Sangam Dot Com,Bara,Private,2070
Chure Herbs Production Bayabsayik Talim and Pramarsh Kendra,Bara,Private,2070
Mata Kalika Security Company,Bara,Private,2070
"P.S.School,Bara",Bara,Private,2070
Jeevan Krishi Tatha Pashu Paraamarsha Sewa Kendra,Bara,Private,2070
Barsaat Media,Bara,Private,2070
S.A.K. Cable Net,Bara,Private,2070
Bishwo Gyan Media,Bara,Private,2070
Central Nepal Health Care Hospital,Bara,Private,2070
Terai Yatayat Petroleum Pvt Ltd,Bara,Private,2070
Lal Brother Developers,Bara,Private,2070
Education Garden Bara,Bara,Private,2070
D.K.Gobar Gas Tatha Urja Bikash Company,Bara,Private,2070
Prasauni Academy Bara Pvt.Ltd.,Bara,Private,2070
Unision English BoardingSchool Bara,Bara,Private,2070
Prastoka Public English School,Bara,Private,2070
Orchid Academy Bhaluhee Bara,Bara,Private,2070
Learning English Boarding School Bara,Bara,Private,2070
Jyoti Academy Bara,Bara,Private,2070
Bhagyamani Shiksha Sadan School Pvt.Ltd.,Bara,Private,2070
Punctual Security Services,Bara,Private,2070
Shivashakti Engineering Workshop Pvt. Ltd.,Bardiya,Private,2070
Bardiya Travels & Tours,Bardiya,Private,2070
Anjalis Dolphins Resort,Bardiya,Private,2070
Ding Xin Meat Processing & Manufacturing Company,Bardiya,Private,2070
Mona Education,Bardiya,Private,2070
Tarataal Namuna Byabasayik Krishi Farm,Bardiya,Private,2070
Nagarik Energy Development Company Pvt..Ltd.,Bardiya,Private,2070
Bardiya Aankha Aspatal,Bardiya,Private,2070
Tripple P. Solution,Bhaktapur,Private,2070
Shiva Shambhu Fashion,Bhaktapur,Private,2070
Sandipani College,Bhaktapur,Private,2070
SJVN Arun - 3 Power Development Company,Bhaktapur,Private,2070
Kshamadevi Construction Solution,Bhaktapur,Private,2070
Tinka Neel Barahee Pashupalan Farm,Bhaktapur,Private,2070
Nepal Academy of Management and Technology,Bhaktapur,Private,2070
Mars & Company,Bhaktapur,Private,2070
H.D. Media,Bhaktapur,Private,2070
R. Komal Construction,Bhaktapur,Private,2070
Medi World Concern,Bhaktapur,Private,2070
Lord Buddha Handicraft & Thanka Training School,Bhaktapur,Private,2070
Medhabi College of Management,Bhaktapur,Private,2070
Geomatics Group of Consultants,Bhaktapur,Private,2070
Creative Thanka Art School,Bhaktapur,Private,2070
Bhadgaun Life Care,Bhaktapur,Private,2070
Connect World Education Consultancy,Bhaktapur,Private,2070
Manakamana Electro Tech,Bhaktapur,Private,2070
Bhaktapur Consultant,Bhaktapur,Private,2070
Rural Renewable Energy Development,Bhaktapur,Private,2070
Samajik College,Bhaktapur,Private,2070
Instant Service,Bhaktapur,Private,2070
Avenue College,Bhaktapur,Private,2070
Panchatatwa International,Bhaktapur,Private,2070
K. & G. Multipurpose Company,Bhaktapur,Private,2070
Buddha Chhittaa Mala & Thanka Painting,Bhaktapur,Private,2070
Kailashpati Cement Materials,Bhaktapur,Private,2070
Bhaju Bhairav Krishi Firm,Bhaktapur,Private,2070
Shreenkhala Enterprises,Bhaktapur,Private,2070
Mars Channel Network,Bhaktapur,Private,2070
Nagarkot Mahankal Doodh Dairy and Food Products,Bhaktapur,Private,2070
Shree Shyam Pet Industries,Bhaktapur,Private,2070
dkompany pvt. ltd.,Bhaktapur,Private,2070
M.N.M. International Company,Bhaktapur,Private,2070
Action and Innovation for Engineering Solution,Bhaktapur,Private,2070
Bishal Business,Bhaktapur,Private,2070
Viber Travels and Tours Express,Bhaktapur,Private,2070
Valley Offset Press and Publication,Bhaktapur,Private,2070
Chambling Agriculture,Bhaktapur,Private,2070
D.R.B. Nirman & Suppliers,Bhaktapur,Private,2070
Yarinaag Mala Udhyog,Bhaktapur,Private,2070
Rabbit Foundation,Bhaktapur,Private,2070
M.S. Krishi Farm,Bhaktapur,Private,2070
Suraj Chaudhary Traders,Bhaktapur,Private,2070
Mountain Movers Pvt. Ltd.,Bhaktapur,Private,2070
Balmiki Pashupalan Tatha Krishi Farm,Bhaktapur,Private,2070
Kailashnath Mahadev Cable Car,Bhaktapur,Private,2070
Bhaktapur Education Center,Bhaktapur,Private,2070
Sunset & valley View Resort,Bhaktapur,Private,2070
Prominent Services,Bhaktapur,Private,2070
Imaging & Therapy Centre,Bhaktapur,Private,2070
Nepal Web Service,Bhaktapur,Private,2070
Milla Guest House,Bhaktapur,Private,2070
Green Plastic Industries,Bhaktapur,Private,2070
Shreekrishna Elevation Industries,Bhaktapur,Private,2070
Nectar Supermarket,Bhaktapur,Private,2070
Google Media,Bhaktapur,Private,2070
Maitri Chimney Kiln Industries,Bhaktapur,Private,2070
Bishwa Darshan Travels & Tours,Bhaktapur,Private,2070
Jaya Shankar Traders,Bhaktapur,Private,2070
Himal L.P.,Bhaktapur,Private,2070
Village Highline Resort,Bhaktapur,Private,2070
Archid Design,Bhaktapur,Private,2070
Metro Auto Center,Bhaktapur,Private,2070
Shiva Shikhar Agro,Bhaktapur,Private,2070
Sallaghari Hostel,Bhaktapur,Private,2070
Jay Bhimsen Drinks,Bhaktapur,Private,2070
Adarsha Krishi Company,Bhaktapur,Private,2070
Salon Traders,Bhaktapur,Private,2070
Bajra Lama Thanka Painting School,Bhaktapur,Private,2070
City Flash Entertainment,Bhaktapur,Private,2070
Riddhi Koju Publication & Distribution,Bhaktapur,Private,2070
Pathibhara Kuber Construction and Suppliers,Bhaktapur,Private,2070
Chwanga Ganesh Health Care,Bhaktapur,Private,2070
Eros Engineering Consultancy,Bhaktapur,Private,2070
Allure,Bhaktapur,Private,2070
Once Upon A Time Production,Bhaktapur,Private,2070
Palase Fun Valley Food Court,Bhaktapur,Private,2070
U.V. Engineering Consultancy & Construction,Bhaktapur,Private,2070
R. K. Organize Sub Money Transfer,Bhaktapur,Private,2070
Bhaktapur Physiotherapy Clinic,Bhaktapur,Private,2070
Bhaktapur Swasthya Clinic,Bhaktapur,Private,2070
J.G.M. Hotel,Bhaktapur,Private,2070
Hotel Shiva's Bhaktapur Shangrila,Bhaktapur,Private,2070
Charli International,Bhaktapur,Private,2070
Healthy  Bhaktapur,Bhaktapur,Private,2070
B.J.L.I. Nepal,Bhaktapur,Private,2070
EyeWeb Sys,Bhaktapur,Private,2070
R.P.S.N. Power Concern,Bhaktapur,Private,2070
Mechi Kali Real State,Bhaktapur,Private,2070
Piyush Interior,Bhaktapur,Private,2070
Om kundaleshwor Pvt. Ltd.,Bhaktapur,Private,2070
